file,player1,player2,rps_winner,game1_winner,starting_hand_player1,starting_hand_player2
745183-70016832.json,[TRINITY] WhiteDevil,wargros,False,True,"['Forbidden Droplet', 'Imsety, Glory of Horus', 'Crystron Inclusion', 'Foolish Burial', 'Effect Veiler']","['Primite Drillbeam', 'Sage with Eyes of Blue', 'Roar of the Blue-Eyed Dragons', 'Primite Lordly Lode', 'Primite Dragon Ether Beryl']"
745183-69999963.json,[TRINITY] WhiteDevil,fatbbABY,False,True,"['Infinite Impermanence', 'Ash Blossom & Joyous Spring', 'Dominus Impulse', 'Crystron Inclusion', 'Nibiru, the Primal Being']","['Mementotlan Mace', 'Mementoal Tecuhtlica - Combined Creation', 'Goblin Biker Dugg Charger', 'Mulcharmy Fuwalos', 'Book of Eclipse']"
40599256.json,Dunemarcher,Shadow Lantern,False,False,"['Edge Imp Chain', 'Triple Tactics Talent', 'Branded in Red', 'Despian Tragedy', 'Triple Tactics Talent']","['Pot of Desires', 'Ash Blossom & Joyous Spring', 'Swordsoul of Taia', 'Tenyi Spirit - Vishuda', 'Tenyi Spirit - Ashuna']"
